instance_id,best_usage,idle_time,labs,counted_students
inst_1,127,1,8,17
inst_2,116,80,7,14
inst_3,126,35,7,14
inst_4,99,51,5,13
inst_5,151,65,8,19
inst_6,123,61,8,13
inst_7,131,69,8,20
inst_8,164,36,10,22
inst_9,89,55,6,12
inst_10,100,38,6,14
inst_11,135,68,7,16
inst_12,204,12,9,23
inst_13,104,92,7,14
inst_14,150,120,10,18
inst_15,139,122,9,20
inst_16,114,19,7,13
inst_17,135,57,8,20
inst_18,157,33,10,19
inst_19,146,25,9,18
inst_20,126,26,8,16
inst_21,63,12,5,9
inst_22,84,63,7,12
inst_23,176,0,10,21
inst_24,158,85,9,21
inst_25,132,15,7,17
inst_26,224,46,10,24
inst_27,92,76,7,11
inst_28,102,24,6,13
inst_29,117,86,7,14
inst_30,152,28,10,23
inst_31,143,46,9,14
inst_32,182,108,10,22
inst_33,84,66,5,10
inst_34,197,73,10,23
inst_35,88,12,5,11
inst_36,161,49,7,16
inst_37,105,55,8,15
inst_38,87,58,5,12
inst_39,160,10,10,21
inst_40,99,41,5,11
inst_41,145,62,9,18
inst_42,108,12,6,12
inst_43,188,72,10,23
inst_44,133,137,10,18
inst_45,92,70,6,12
inst_46,48,27,5,8
inst_47,115,60,7,14
inst_48,145,44,9,17
inst_49,90,0,5,9
inst_50,163,37,10,20
inst_51,162,41,7,17
inst_52,124,56,9,17
inst_53,184,59,9,20
inst_54,78,24,6,10
inst_55,150,42,8,19
inst_56,99,97,7,14
inst_57,78,27,5,9
inst_58,96,6,6,12
inst_59,199,101,10,23
inst_60,95,73,6,12
inst_61,74,21,5,8
inst_62,89,7,6,10
inst_63,139,29,8,17
inst_64,71,31,6,8
inst_65,94,80,6,12
inst_66,149,131,10,20
inst_67,135,54,9,18
inst_68,153,39,8,19
inst_69,126,24,6,14
inst_70,123,0,7,14
inst_71,151,39,10,17
inst_72,128,52,10,17
inst_73,107,19,7,16
inst_74,135,36,9,21
inst_75,175,68,9,20
inst_76,147,24,9,19
inst_77,106,48,7,13
inst_78,65,50,5,9
inst_79,94,14,6,11
inst_80,142,0,8,18
inst_81,136,64,8,16
inst_82,115,25,5,12
inst_83,138,51,9,17
inst_84,156,24,10,17
inst_85,66,24,5,8
inst_86,110,58,8,15
inst_87,119,1,8,15
inst_88,126,82,8,18
inst_89,127,73,10,16
inst_90,184,32,8,20
inst_91,111,69,9,14
inst_92,79,23,6,11
inst_93,74,21,5,7
inst_94,89,56,5,13
inst_95,121,41,6,13
