instance_id,best_usage,idle_time,labs,counted_students
inst_1,80,80,5,14
inst_2,143,109,6,24
inst_3,113,62,5,17
inst_4,125,70,5,24
inst_5,170,347,11,32
inst_6,149,131,7,25
inst_7,126,189,7,20
inst_8,91,119,5,15
inst_9,170,182,8,26
inst_10,152,135,7,26
inst_11,91,124,5,17
inst_12,211,218,11,33
inst_13,95,185,8,20
inst_14,134,186,8,23
inst_15,171,349,10,28
inst_16,126,396,9,23
inst_17,112,328,8,23
inst_18,100,257,7,16
inst_19,106,169,5,17
inst_20,125,197,7,22
inst_21,137,220,7,21
inst_22,103,67,5,16
inst_23,125,80,5,21
inst_24,131,73,6,21
inst_25,124,332,8,20
inst_26,159,201,9,22
inst_27,102,276,7,16
inst_28,130,255,11,27
inst_29,212,208,10,37
inst_30,236,84,10,38
